Número de Línea,Texto,Clasificación,Polaridad,Librería
1,"Excelente implementación de Odoo, nuestra gestión mejoró un 100%.",positivo,0.962,pysentimiento
2,El equipo de consultoría fue muy profesional y paciente.,positivo,0.9642,pysentimiento
3,"Estoy encantado con la automatización de las ventas, ¡ahorramos horas de trabajo!",positivo,0.9346,pysentimiento
4,"La migración de datos fue impecable, no perdimos ninguna información.",positivo,0.9478,pysentimiento
5,"Un servicio de diez, implementaron todo en el tiempo acordado.",neutro,0.0,vader
6,Odoo ha transformado la logística de nuestra empresa. ¡Gracias!,positivo,0.9476,pysentimiento
7,Muy buena atención al cliente y soporte técnico rápido.,positivo,0.959,pysentimiento
8,El sistema es intuitivo y la configuración fue perfecta.,positivo,0.9505,pysentimiento
9,"Superaron mis expectativas, el ERP funciona a la perfección.",positivo,0.9149,pysentimiento
10,La capacitación que nos dieron fue muy completa y clara.,positivo,0.9678,pysentimiento
11,Finalmente tenemos el control total de nuestro inventario. ¡Genial!,positivo,0.9657,pysentimiento
12,Recomendados al 100% para cualquier empresa que quiera digitalizarse.,neutro,0.0,vader
13,"El módulo de contabilidad es una maravilla, simplificó todo.",positivo,0.9683,pysentimiento
14,Me sorprendió la rapidez con la que resolvieron mis dudas.,positivo,0.7975,pysentimiento
15,Gran trabajo de adaptación a las necesidades de nuestro negocio.,positivo,0.9066,pysentimiento
16,La interfaz quedó muy limpia y fácil de usar para el personal.,positivo,0.9529,pysentimiento
17,"Increíble servicio, el despliegue fue sin contratiempos.",positivo,0.9179,pysentimiento
18,Por fin una empresa que sabe implementar Odoo correctamente.,neutro,0.0,vader
19,Estamos muy satisfechos con el resultado final.,neutro,0.0,vader
20,La integración con nuestra tienda online fue un éxito total.,positivo,0.9687,pysentimiento
21,El ROI de esta implementación ha sido inmediato.,neutro,0.0,pysentimiento
22,Muy amables y eficientes en cada etapa del proyecto.,neutro,0.0,vader
23,"Odoo es potente, pero la implementación de ustedes lo hizo sencillo.",positivo,0.7268,pysentimiento
24,Todo funciona como un reloj suizo. Muy agradecido.,neutro,0.0,vader
25,La mejor inversión que hemos hecho este año para la empresa.,positivo,0.9559,pysentimiento
26,El soporte post-implementación es excepcional.,positivo,0.6768,pysentimiento
27,Me encanta cómo quedaron los reportes personalizados.,positivo,0.9629,pysentimiento
28,El proceso de implementación fue fluido y organizado.,positivo,0.8117,pysentimiento
29,Gracias por ayudarnos a modernizar nuestra gestión administrativa.,positivo,0.8568,pysentimiento
30,Un equipo experto que realmente conoce el ecosistema Odoo.,neutro,0.0,vader
31,¡Impresionante! Todo quedó configurado exactamente como queríamos.,positivo,0.884,pysentimiento
32,Muy buena comunicación durante todo el proceso.,positivo,0.971,pysentimiento
33,La herramienta es fantástica y el servicio de instalación fue top.,positivo,0.9783,pysentimiento
34,Logramos optimizar los tiempos de entrega gracias a su ayuda.,neutro,0.0,vader
35,⭐️⭐️⭐️⭐️⭐️ Servicio impecable y profesional.,neutro,0.0,vader
36,"Un desastre total, el sistema se cae constantemente.",neutro,0.0,vader
37,Tardaron tres meses más de lo prometido en entregar el ERP.,negativo,-0.8012,pysentimiento
38,"La capacitación fue insuficiente, nadie en mi oficina sabe usar el programa.",negativo,-0.978,pysentimiento
39,"Me siento estafado, prometieron módulos que nunca instalaron.",negativo,-0.9731,pysentimiento
40,"El soporte técnico es lentísimo, tardan días en responder un ticket.",negativo,-0.9606,pysentimiento
41,"Odoo es bueno, pero la implementación de esta empresa fue mediocre.",negativo,-0.9512,pysentimiento
42,El sistema tiene demasiados errores de configuración.,negativo,-0.9459,pysentimiento
43,"No saben escuchar las necesidades del cliente, instalaron algo genérico.",negativo,-0.9762,pysentimiento
44,Una pérdida de tiempo y dinero. No los recomiendo.,negativo,-0.9622,pysentimiento
45,"La migración de datos fue un caos, tenemos registros duplicados por todos lados.",negativo,-0.9662,pysentimiento
46,El consultor no tenía idea de cómo resolver el problema de la factura electrónica.,negativo,-0.8058,pysentimiento
47,"Muy mala comunicación, nunca sabíamos en qué etapa estaba el proyecto.",negativo,-0.9584,pysentimiento
48,El costo final fue mucho más alto que el presupuesto inicial.,negativo,-0.4828,pysentimiento
49,"El ERP es lentísimo, no optimizaron la base de datos.",negativo,-0.9777,pysentimiento
50,"No cumplen con los plazos de entrega, una falta de respeto.",negativo,-0.296,vader
51,"La configuración de inventarios es un dolor de cabeza, nada cuadra.",negativo,-0.9769,pysentimiento
52,Me dejaron el sistema a medias y ahora no sé a quién reclamar.,negativo,-0.9584,pysentimiento
53,"Muy arrogantes los consultores, no aceptan sugerencias.",negativo,-0.296,vader
54,La interfaz quedó confusa y el personal se resiste a usarla.,negativo,-0.9141,pysentimiento
55,"Hubo errores graves en el módulo de nómina, casi cometemos un error legal.",negativo,-0.9567,pysentimiento
56,"No recomiendo este servicio, buscaron la vía rápida y no la correcta.",negativo,-0.9468,pysentimiento
57,"Cada vez que arreglan un bug, crean dos nuevos.",neutro,0.0,vader
58,El servicio post-venta es inexistente.,neutro,0.0,vader
59,Demasiadas promesas y muy pocos resultados reales.,neutro,0.0,vader
60,El sistema es inestable y se bloquea al generar reportes grandes.,neutro,0.0,vader
61,Una experiencia frustrante desde el primer día.,negativo,-0.9609,pysentimiento
62,No entendieron nuestro modelo de negocio y el ERP no nos sirve.,negativo,-0.5267,vader
63,El despliegue fue improvisado y lleno de fallos.,neutro,0.0,vader
64,Siento que solo querían cobrar la licencia y no importarles la implementación.,negativo,-0.9191,pysentimiento
65,El flujo de trabajo que configuraron es más lento que el manual.,negativo,-0.9002,pysentimiento
66,"Horrible servicio, no responden los correos.",negativo,-0.6908,vader
67,"Me vendieron humo, el sistema no hace el 50% de lo que dijeron.",negativo,-0.296,vader
68,Un proceso engorroso y mal gestionado.,neutro,0.0,vader
69,No tienen experiencia real en implementaciones de gran escala.,negativo,-0.296,vader
70,Pésima calidad en la parametrización de los módulos.,negativo,-0.955,pysentimiento
71,El servicio de implementación de Odoo fue estándar.,neutro,0.0,pysentimiento
72,Instalaron el sistema el lunes y empezamos a usarlo el miércoles.,neutro,0.0,pysentimiento
73,"Es un ERP robusto, aunque requiere tiempo para acostumbrarse.",neutro,0.0,vader
74,"El proceso fue normal, ni muy rápido ni muy lento.",neutro,0.0,pysentimiento
75,Cumplieron con los requerimientos básicos solicitados.,neutro,0.0,pysentimiento
76,"El sistema funciona, pero tiene algunas cosas por mejorar.",neutro,0.0,vader
77,Recibimos la capacitación básica de Odoo.,neutro,0.0,pysentimiento
78,"Es una herramienta útil, aunque la curva de aprendizaje es alta.",positivo,0.6632,pysentimiento
79,El consultor vino dos veces a la oficina para la puesta en marcha.,neutro,0.0,vader
80,El precio está dentro del promedio del mercado.,neutro,0.0,pysentimiento
81,"Odoo tiene muchas funciones, algunas no las vamos a usar.",negativo,-0.296,vader
82,La implementación tomó el tiempo estimado.,neutro,0.0,pysentimiento
83,El software hace lo que dice el manual.,neutro,0.0,vader
84,"Se instalaron los módulos de ventas, compras e inventario.",neutro,0.0,pysentimiento
85,El equipo técnico fue cordial durante las reuniones.,positivo,0.7574,pysentimiento
86,Estamos evaluando si el sistema se adapta a largo plazo.,neutro,0.0,vader
87,Es un cambio significativo respecto a cómo trabajábamos antes.,positivo,0.6479,pysentimiento
88,"El servicio fue aceptable, sin grandes sorpresas.",negativo,-0.5574,vader
89,Recibimos la documentación del sistema por correo.,neutro,0.0,pysentimiento
90,La configuración fue la estándar de Odoo.,neutro,0.0,pysentimiento
91,"El sistema es estable, aunque la velocidad es regular.",neutro,0.0,vader
92,Tuvimos algunas dudas que fueron resueltas en la segunda semana.,neutro,0.0,vader
93,Es una opción viable para empresas de nuestro tamaño.,positivo,0.7177,pysentimiento
94,El despliegue se hizo de manera remota.,neutro,0.0,vader
95,"Comparado con otros ERP, este es más moderno.",neutro,0.0,pysentimiento
96,El proceso de instalación siguió los pasos previstos.,neutro,0.0,pysentimiento
97,Se implementaron los cambios solicitados en el contrato.,neutro,0.0,vader
98,El sistema requiere una conexión a internet estable para funcionar.,neutro,0.0,pysentimiento
99,La transición al nuevo ERP fue un proceso gradual.,neutro,0.0,pysentimiento
100,Odoo es una herramienta conocida y el servicio fue el esperado.,neutro,0.0,vader
101,"La implementación fue aceptable, cumple con lo básico.",positivo,0.844,pysentimiento
102,¡Increíble! El módulo de CRM nos cambió la vida. 🚀,positivo,0.7006,pysentimiento
103,"No recomiendo a esta empresa, el despliegue fue un caos total.",negativo,-0.296,vader
104,El sistema de Odoo ya está operativo en todas las sucursales.,neutro,0.0,pysentimiento
105,"El consultor fue muy amable, pero el sistema sigue fallando.",neutro,0.0,vader
106,La migración de datos tomó más tiempo del esperado.,neutro,0.0,pysentimiento
107,Súper contentos con la automatización de los reportes mensuales.,positivo,0.9038,pysentimiento
108,"El software funciona, aunque la interfaz es un poco lenta.",neutro,0.0,vader
109,"Pésimo servicio post-venta, nos dejaron solos tras el pago.",negativo,-0.9783,pysentimiento
110,"La capacitación fue estándar, nada fuera de lo común.",neutro,0.0,pysentimiento
111,Odoo es una gran herramienta y la instalación fue impecable.,positivo,0.9801,pysentimiento
112,No entendieron nuestro flujo de caja y el ERP quedó mal configurado.,negativo,-0.9372,pysentimiento
113,El precio del servicio es justo para lo que ofrecen.,neutro,0.0,vader
114,Me encanta cómo integraron la pasarela de pagos. ¡10/10!,positivo,0.9721,pysentimiento
115,Siento que pagué demasiado por un servicio mediocre.,negativo,-0.9844,pysentimiento
116,Se instalaron los módulos de compras y ventas según el contrato.,neutro,0.0,pysentimiento
117,"El soporte técnico es un desastre, tardan siglos en contestar.",negativo,-0.9756,pysentimiento
118,"Finalmente tenemos el inventario cuadrado, gracias al equipo.",neutro,0.0,vader
119,El proceso de implementación fue lineal y sin sobresaltos.,positivo,0.7844,pysentimiento
120,El sistema se cuelga cada vez que genero una factura masiva. 😡,neutro,0.0,vader
121,"Es un ERP potente, pero requiere mucha paciencia para aprender.",neutro,0.0,vader
122,"Excelente comunicación durante todo el proyecto, muy profesionales.",positivo,0.9707,pysentimiento
123,La configuración de los impuestos fue un dolor de cabeza.,negativo,-0.976,pysentimiento
124,El despliegue se realizó en la nube y funciona correctamente.,positivo,0.7385,pysentimiento
125,"Todo quedó perfecto, superaron nuestras expectativas.",positivo,0.9553,pysentimiento
126,No me gusta cómo manejaron la migración de los clientes antiguos.,negativo,-0.9746,pysentimiento
127,"El servicio fue regular, ni bueno ni malo.",neutro,0.0,vader
128,Una inversión totalmente rentable para nuestra pyme.,positivo,0.9476,pysentimiento
129,El consultor no sabía explicar las funciones avanzadas de Odoo.,negativo,-0.5228,pysentimiento
130,Recibimos el acceso al sistema el día acordado.,neutro,0.0,pysentimiento
131,"El módulo de manufactura es una joya, optimizamos la producción.",positivo,0.9694,pysentimiento
132,Demasiados bugs en la versión que nos entregaron.,negativo,-0.9575,pysentimiento
133,"El sistema es estable, aunque la velocidad de carga es media.",neutro,0.0,vader
134,"Muy buena gestión del proyecto, cumplieron cada hito.",positivo,0.9754,pysentimiento
135,"Me siento defraudado, el ERP no hace lo que prometieron en la demo.",negativo,-0.296,vader
136,Tuvimos una sesión de dudas el viernes pasado.,neutro,0.0,pysentimiento
137,El servicio de implementación fue rápido y eficiente. ✅,positivo,0.7605,pysentimiento
138,La parametrización de la nómina está llena de errores.,negativo,-0.9611,pysentimiento
139,"El software hace lo que necesitamos, nada más ni nada menos.",positivo,0.8821,pysentimiento
140,¡Qué gran equipo! Resolvieron problemas que otros no pudieron.,positivo,0.9383,pysentimiento
141,"No recomiendo contratar el soporte mensual, es muy caro y lento.",negativo,-0.296,vader
142,La transición del sistema viejo a Odoo fue gradual.,neutro,0.0,pysentimiento
143,El sistema es intuitivo y el personal se adaptó rápido.,positivo,0.7649,pysentimiento
144,"Sinceramente, fue una pérdida de tiempo y dinero.",negativo,-0.9662,pysentimiento
145,Se implementaron los flujos de aprobación de gastos.,neutro,0.0,pysentimiento
146,"Excelente soporte técnico, resolvieron mi duda en 10 minutos.",positivo,0.8108,pysentimiento
147,"El ERP es muy complejo, la capacitación fue muy superficial.",negativo,-0.9576,pysentimiento
148,"El despliegue fue normal, siguiendo el manual de Odoo.",neutro,0.0,vader
149,Estoy fascinado con la visibilidad que ahora tengo del negocio.,neutro,0.0,vader
150,Hubo mucha desorganización en las reuniones de seguimiento.,negativo,-0.901,pysentimiento
151,El sistema funciona correctamente en Chrome y Firefox.,neutro,0.0,vader
152,"Un servicio de lujo, el despliegue fue quirúrgico.",positivo,0.9637,pysentimiento
153,El módulo de contabilidad no cuadra con nuestros reportes reales.,negativo,-0.9414,pysentimiento
154,El costo de implementación se mantuvo dentro del presupuesto.,neutro,0.0,pysentimiento
155,La herramienta es útil pero la curva de aprendizaje es empinada.,neutro,0.0,pysentimiento
156,No pudieron resolver el problema de la integración con el banco.,negativo,-0.9418,pysentimiento
157,"Súper profesionales, el ERP quedó adaptado a nuestra medida.",positivo,0.591,pysentimiento
158,El proceso de instalación fue sencillo y sin errores.,positivo,0.8434,pysentimiento
159,Me parece que el sistema es demasiado robusto para lo que necesitamos.,neutro,0.0,vader
160,"El soporte es mediocre, solo responden lo básico.",negativo,-0.9728,pysentimiento
161,¡Por fin un ERP que no es una pesadilla de usar!,positivo,0.6063,pysentimiento
162,Se configuraron los permisos de usuario según la jerarquía.,neutro,0.0,pysentimiento
163,El despliegue fue improvisado y se notó la falta de experiencia.,negativo,-0.9038,pysentimiento
164,"La calidad del servicio es excepcional, muy recomendados.",neutro,0.0,vader
165,"Odoo es bueno, pero la configuración de esta empresa fue pobre.",negativo,-0.9126,pysentimiento
166,Tuvimos que hacer ajustes manuales porque el consultor se equivocó.,negativo,-0.8426,pysentimiento
167,El sistema está funcionando en modo producción desde ayer.,neutro,0.0,pysentimiento
168,Muy satisfechos con la rapidez de la implementación.,positivo,0.9411,pysentimiento
169,El módulo de ventas es confuso y el personal se queja.,negativo,-0.9552,pysentimiento
170,El servicio fue adecuado para el precio pagado.,neutro,0.0,vader
171,El equipo técnico demostró un dominio total de Odoo.,negativo,-0.5377,pysentimiento
172,Tardaron semanas en configurar un simple reporte de ventas.,neutro,0.0,vader
173,"La implementación fue estándar, no hubo personalizaciones.",negativo,-0.7406,pysentimiento
174,El ROI ha sido impresionante desde el primer mes.,positivo,0.34,vader
175,El sistema es lento cuando hay más de 10 usuarios conectados.,negativo,-0.9426,pysentimiento
176,La comunicación fue fluida a través de Slack.,positivo,0.4972,pysentimiento
177,"No cumplieron con los plazos de entrega, un desastre.",negativo,-0.296,vader
178,"La herramienta es potente, aunque requiere servidor propio.",neutro,0.0,vader
179,Me encanta la flexibilidad que nos dio la configuración final.,positivo,0.9638,pysentimiento
180,El consultor fue distante y no mostró interés en el negocio.,negativo,-0.8404,pysentimiento
181,Se instaló el módulo de CRM y el de Inventarios.,neutro,0.0,pysentimiento
182,"El servicio fue impecable, desde la preventa hasta la entrega.",neutro,0.0,vader
183,La migración de datos dejó muchos campos vacíos.,negativo,-0.9392,pysentimiento
184,"El ERP es funcional, cumple con los requerimientos.",neutro,0.0,vader
185,"Súper mala experiencia, no respondieron mis correos por días.",negativo,-0.971,pysentimiento
186,La capacitación fue muy dinámica y útil para el equipo.,positivo,0.9706,pysentimiento
187,El sistema es estable pero la interfaz se siente anticuada.,neutro,0.0,vader
188,Logramos reducir el tiempo de facturación a la mitad. ¡Genial!,positivo,0.956,pysentimiento
189,El despliegue tuvo varios errores críticos al inicio.,negativo,-0.6425,pysentimiento
190,Recibimos el manual de usuario en formato PDF.,neutro,0.0,vader
191,"Un trabajo impecable, el sistema vuela. 🚀",neutro,0.0,vader
192,No saben configurar la localización fiscal de nuestro país.,negativo,-0.9261,pysentimiento
193,"El proceso fue normal, sin grandes hitos ni grandes fallos.",negativo,-0.5574,vader
194,El servicio de consultoría fue de primer nivel.,positivo,0.9579,pysentimiento
195,El módulo de compras es redundante para nuestro proceso.,positivo,0.7341,pysentimiento
196,Me siento muy tranquilo ahora que todo está automatizado.,positivo,0.904,pysentimiento
197,El ERP se cae constantemente durante el cierre de mes.,neutro,0.0,vader
198,El tiempo de respuesta del equipo técnico fue aceptable.,positivo,0.5563,pysentimiento
199,La mejor decisión que tomamos fue implementar Odoo con ellos.,positivo,0.9216,pysentimiento
200,La parametrización fue superficial y tuvimos que rehacerla.,negativo,-0.9353,pysentimiento
201,El sistema ya está integrado con nuestra tienda de Shopify.,neutro,0.0,pysentimiento
202,No recomiendo este servicio por la falta de puntualidad.,negativo,-0.296,vader
203,El despliegue fue satisfactorio y el equipo fue cordial.,neutro,0.0,vader
204,"La implementación de Odoo fue correcta, sin lujos pero eficiente.",positivo,0.9269,pysentimiento
205,¡Qué desastre! El sistema de inventarios no coincide con la realidad. 😡,negativo,-0.978,pysentimiento
206,El equipo de consultoría demostró un dominio técnico impresionante.,positivo,0.9381,pysentimiento
207,El software se instaló en el tiempo previsto.,neutro,0.0,pysentimiento
208,"Me encanta la nueva gestión de proyectos, ahora todo es más visual.",positivo,0.9683,pysentimiento
209,"Sinceramente, no sé si valió la pena la inversión, es muy complejo.",negativo,-0.918,pysentimiento
210,"El soporte técnico es aceptable, aunque no son los más rápidos.",positivo,0.556,pysentimiento
211,La migración de la base de datos fue un éxito rotundo. ✅,positivo,0.7071,pysentimiento
212,No pudieron configurar la factura electrónica y estamos bloqueados.,negativo,-0.9394,pysentimiento
213,El ERP cumple con las funciones básicas que solicitamos.,neutro,0.0,pysentimiento
214,"Increíble servicio, transformaron nuestra empresa en un mes.",positivo,0.872,pysentimiento
215,El consultor parecía estar improvisando en cada reunión.,negativo,-0.5623,pysentimiento
216,"La interfaz de Odoo es moderna, pero la configuración fue pobre.",negativo,-0.6121,pysentimiento
217,Recibimos la capacitación el martes pasado por Zoom.,neutro,0.0,pysentimiento
218,"El flujo de ventas es ahora mucho más ágil, ¡estoy feliz!",positivo,0.9491,pysentimiento
219,El sistema es inestable y se cae los lunes por la mañana.,negativo,-0.9641,pysentimiento
220,"Un servicio estándar, nada que destacar ni que criticar.",positivo,0.8613,pysentimiento
221,La integración con el e-commerce fue impecable. 🚀,positivo,0.7567,pysentimiento
222,Me vendieron una solución personalizada y me dieron una estándar.,neutro,0.0,pysentimiento
223,El costo mensual del soporte es razonable.,neutro,0.0,vader
224,El módulo de RRHH es intuitivo y muy fácil de parametrizar.,positivo,0.878,pysentimiento
225,"Tuvimos problemas con los permisos de usuario, pero se resolvieron.",neutro,0.0,vader
226,La implementación fue un camino lleno de baches y errores.,negativo,-0.9044,pysentimiento
227,"Odoo es una herramienta potente, el servicio fue adecuado.",neutro,0.0,vader
228,¡Por fin! Un equipo que entiende de procesos industriales.,positivo,0.8892,pysentimiento
229,El software es lento al cargar los reportes de ventas anuales.,neutro,0.0,vader
230,"El despliegue fue normal, siguiendo los pasos del manual.",neutro,0.0,vader
231,"Me siento estafado con la promesa de ""implementación rápida"".",negativo,-0.9569,pysentimiento
232,"Excelente atención al cliente, siempre dispuestos a ayudar.",positivo,0.9189,pysentimiento
233,La parametrización de los almacenes quedó a medio hacer.,neutro,0.0,pysentimiento
234,"El sistema funciona, aunque la curva de aprendizaje es eterna.",neutro,0.0,vader
235,El ROI se nota desde la primera semana de uso. 💰,neutro,0.0,vader
236,Tardaron una eternidad en configurar el módulo de compras.,negativo,-0.9354,pysentimiento
237,Se instalaron los módulos solicitados en el contrato original.,neutro,0.0,pysentimiento
238,"El servicio fue mediocre, esperaba más profesionalismo.",negativo,-0.9433,pysentimiento
239,La comunicación con el gestor del proyecto fue excelente.,positivo,0.9665,pysentimiento
240,"El ERP es robusto, pero requiere un servidor más potente.",neutro,0.0,pysentimiento
241,"No recomiendo a esta empresa, no tienen ni idea de contabilidad.",negativo,-0.5267,vader
242,"La capacitación fue muy básica, tuvimos que aprender solos.",negativo,-0.9432,pysentimiento
243,Súper contentos con la automatización de los correos de venta.,positivo,0.9266,pysentimiento
244,El despliegue fue caótico y afectó nuestra operación diaria.,negativo,-0.9711,pysentimiento
245,El sistema es estable y no hemos tenido caídas.,positivo,0.5664,pysentimiento
246,Un servicio mediocre que solo busca cobrar la licencia.,neutro,0.0,vader
247,La configuración de impuestos es correcta y cumple la ley.,neutro,0.0,pysentimiento
248,¡Brillante! La solución que implementaron nos ahorra horas de trabajo.,positivo,0.504,pysentimiento
249,"El consultor fue amable, pero no resolvió mis dudas técnicas.",negativo,-0.5986,pysentimiento
250,El proceso de implementación fue lineal y predecible.,negativo,-0.845,pysentimiento
251,"El módulo de CRM es una pesadilla, nada es intuitivo.",negativo,-0.9744,pysentimiento
252,"La herramienta es útil, aunque el soporte es algo lento.",positivo,0.6119,pysentimiento
